,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
14,31/10/1983,0.669209663,0.669657805
36,30/11/1983,0.68119891,0.68189567
58,30/12/1983,0.688705234,0.689179876
80,31/01/1984,0.714030703,0.714540907
101,29/02/1984,0.670600858,0.671050866
123,30/03/1984,0.692760651,0.693240901
144,30/04/1984,0.716075904,0.716589036
167,31/05/1984,0.721761097,0.722282412
188,29/06/1984,0.736919676,0.737463127
210,31/07/1984,0.764525994,0.765110941
233,31/08/1984,0.762951095,0.763533634
253,28/09/1984,0.809061489,0.809716599
276,31/10/1984,0.819000819,0.819672131
298,30/11/1984,0.830220008,0.830909846
319,31/12/1984,0.862663906,0.863408738
342,31/01/1985,0.884173298,0.884955752
362,28/02/1985,0.923787529,0.924641701
383,29/03/1985,0.807102502,0.810372771
405,30/04/1985,0.803858521,0.805152979
428,31/05/1985,0.776397516,0.777604977
448,28/06/1985,0.763067531,0.763650248
471,31/07/1985,0.708968451,0.709723208
493,30/08/1985,0.71787509,0.71864894
514,30/09/1985,0.709723208,0.710479574
537,31/10/1985,0.689655172,0.699300699
558,29/11/1985,0.671591672,0.672043011
580,31/12/1985,0.691085003,0.692041522
603,31/01/1986,0.707463742,0.707964602
623,28/02/1986,0.690607735,0.691562932
644,31/03/1986,0.674308833,0.674763833
666,30/04/1986,0.646412411,0.64683053
688,30/05/1986,0.678886626,0.679347826
709,30/06/1986,0.652315721,0.652741514
732,31/07/1986,0.670690812,0.67114094
753,29/08/1986,0.672268908,0.672721157
775,30/09/1986,0.690607735,0.691085003
798,31/10/1986,0.710984714,0.711490573
818,28/11/1986,0.697107006,0.697836706
841,31/12/1986,0.674308833,0.674763833
863,30/01/1987,0.660501982,0.660938533
883,27/02/1987,0.646746863,0.647165415
905,31/03/1987,0.622858922,0.623247117
927,30/04/1987,0.602409639,0.602772755
948,29/05/1987,0.613496933,0.613873542
970,30/06/1987,0.619770685,0.620155039
993,31/07/1987,0.628338046,0.628733103
1014,31/08/1987,0.61244488,0.612820199
1036,30/09/1987,0.61500615,0.615384615
1058,30/10/1987,0.580720093,0.581057525
1079,30/11/1987,0.546896363,0.547195622
1102,31/12/1987,0.529661017,0.530222694
