,acquirers,0,1,2,3,4
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,BNH FINANCIAL,EMCLAIRE FINANCIAL CORP,COMMERCIAL FINANCIAL CORP.,EAGLE FINANCIAL CORP.
1,First Merchants,FIRST MERCHANTS CORPORATION,FIRST AMERICAN BANCORP,FIRST METRO BANCORP,FARMERS & MERCHANTS BANCORP,FIRST BEEMER CORPORATION
2,Plaza Bank,HAZARD BANCORP,PLUMAS BANCORP,"PLAZA AGENCY, INC.",PATHWAY BANCORP,PALM BANCORP
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,CASCADE BANCORP,BATH STATE BANCORP,CORTLAND BANCORP
4,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","UNITED COMMUNITY BANCORP, INC.","UNITED COMMUNITY BANCSHARES, INC.",BRIDGE COMMUNITY BANK ESOP,UNITED SECURITY BANCSHARES
5,Farmers National Banc,FARMERS NATIONAL BANC CORP.,FIRST NATIONAL BANCORP,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANK CORP.,VALLEY NATIONAL BANCORP
6,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,RSNB BANCORP,PALM BANCORP
7,Sunshine Bancorp,SIDNEY BANCORP,SUSSEX BANCORP,UFS BANCORP,STEINAUER BANCORP,UNIVERSAL BANCORP
8,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.",BOR BANCORP,BRIGHTON BANCORP,RSNB BANCORP
9,Wintrust Financial,WOODTRUST FINANCIAL CORP,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,BNH FINANCIAL,FIRST TRUST FINANCIAL CORP.
10,PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,ALL WEST BANCORP,COAST BANCORP,AMERIS BANCORP
11,WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,BNH FINANCIAL,"FTS FINANCIAL, INC.",WVS FINANCIAL CORP.
12,Howard Bancorp,HAZARD BANCORP,"HOWARD BANCORP, INC.",BOR BANCORP,ORCHARD BANCORP.,WAYTRU BANCORP
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,ALLIANCE BANCORP,STERLING BANCORP,"WESTERN ARIZONA BANCORP, INC.","WEST VALLEY BANCORP, INC."
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","EVERGREEN HOLDINGS, LLC","TXRB HOLDINGS, INC.","OTTEN HOLDINGS, LLC","BT HOLDINGS, INC."
15,Carolina Alliance Bank,ALLIANCE BANCORP,"INDEPENDENT ALLIANCE BANKS, INC.",CAROLINA FINANCIAL CORPORATION,WESTERN ALLIANCE BANCORPORATION,OAK VALLEY BANCORP
16,Seacoast Bankg of Florida,STATE BANK OF INDIA,"BRANNEN BANKS OF FLORIDA, INC.","COMMUNITY BANK OF SOUTH FLORIDA, INC.",ROYAL BANK OF CANADA,COAST BANCORP
17,First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.","FIRST STATE BANCSHARES, INC.","FIRST INTERNATIONAL BANCSHARES, INC.","FIRST STATE BANKSHARES, INC.","FIRST STATE BANCORP, INC."
18,Wintrust Financial,WOODTRUST FINANCIAL CORP,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,BNH FINANCIAL,FIRST TRUST FINANCIAL CORP.
19,Camden National,CAMDEN NATIONAL CORPORATION,AMG NATIONAL CORP.,AMES NATIONAL CORPORATION,COLORADO NATIONAL BANCORP,AMERICAN NATIONAL CORPORATION
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.","DENMARK BANCSHARES, INC.","DELAWARE BANCSHARES, INC.",DELMAR BANCORP,"DECATUR BANCSHARES, INC"
21,First Finl Bankshares,"FIRST FINANCIAL BANKSHARES, INC.","FIRST GILMER BANKSHARES, INC.","FIRST FINANCIAL BANCSHARES, INC.","FIRST BANKSHARES, INC.","FIRST FAIRLAND BANCSHARES, INC."
22,Wintrust Financial,WOODTRUST FINANCIAL CORP,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,BNH FINANCIAL,FIRST TRUST FINANCIAL CORP.
23,Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"OCEANPOINT FINANCIAL PARTNERS, MHC",DISCOVER FINANCIAL SERVICES,PENN LIBERTY FINANCIAL CORP
24,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",ARMSTRONG FINANCIAL CO.,STANDARD FINANCIAL CORP,"CEDARSTONE FINANCIAL, INC."
25,Hamilton Bancorp,"MILTON BANCORP, INC.",HORIZON BANCORP,MISSION BANCORP,HOMETOWN BANC CORP,WASHINGTON BANCORP
26,CenterState Banks,"CENTERSTATE BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.","CENTRAL-STATE BANCORP, INC.",CENTRAL STATE BANCORPORATION,EXCHANGE STATE BANK CORP.
27,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","UNITED COMMUNITY BANCORP, INC.","UNITED COMMUNITY BANCSHARES, INC.",BRIDGE COMMUNITY BANK ESOP,UNITED SECURITY BANCSHARES
28,Heritagemmerce,HERITAGE COMMERCE CORP,HERITAGE BANCORP,"HERITAGE GROUP, INC.","HERITAGE BANCSHARES, INC.","HERITAGE MANAGEMENT COMPANY, INC."
29,Merchants Bancshares,"MERCHANTS BANCSHARES, INC.",MERCHANTS BANCORP,"AMERICAN BANCSHARES, INC.",AMERICAN BANCSHARES CORP.,"GRANT BANCSHARES, INC."
30,Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.",PINNACLE FINANCIAL CORPORATION,"OCEANPOINT FINANCIAL PARTNERS, MHC",DISCOVER FINANCIAL SERVICES,PENN LIBERTY FINANCIAL CORP
31,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF MONTREAL,BANK OF THE CAROLINAS CORPORATION,BANK OF COMMERCE HOLDINGS,BANK OF ERATH HOLDING COMPANY
32,Baylake,BAYLAKE CORP.,BARCLAYS PLC,"BAYLOR BANCSHARES, INC.","CLARKEL, INC.","BANKFIVE, MHC"
33,Firstmmonwealth Finl,FIRST COMMONWEALTH FINANCIAL CORPORATION,FIRST COMMERCIAL FINANCIAL CORP,"COMMONWEALTH HOLDINGS, L.L.C.",FIRST PERSONAL FINANCIAL CORP.,FIRST COWETA CORPORATION
34,FNB Bancorp,FNB BANCORP,MNB BANCORP,CNB BANCORP,FSB BANCORP,RSNB BANCORP
