Product name,Product Description,Original Price,Discounted Price,Price Change
KHAITE,Gelman cropped biker jacket,34110,26605.8,7504.200000000001
Maison Margiela,button-fastening knitted cardigan,10290,10290.0,0.0
Polo Ralph Lauren,Polo Pony cable-knit jumper,860,860.0,0.0
Alexander Wang,RUCHED CARDIGAN,3500,3500.0,0.0
Isabel Marant Étoile,check-pattern single-breasted coat,2755,2755.0,0.0
Jil Sander,hooded padded coat,11144,11144.0,0.0
Polo Ralph Lauren,logo-embroidered knitted cardigan,2490,2490.0,0.0
GANNI,GANNI World intarsia jumper,2395,1868.1000000000001,526.8999999999999
Ferragamo,long suede skirt,31500,31500.0,0.0
Jacquemus,knot-detail shirt dress,4380,4380.0,0.0
Polo Ralph Lauren,paint-splatter striped hoodie,1259,1259.0,0.0
STAND STUDIO,Marina oversized coat,3050,3050.0,0.0
Polo Ralph Lauren,cable-knit jumper,2002,2002.0,0.0
Marni,high-waisted corduroy trousers,6600,6600.0,0.0
Paco Rabanne,snap-fastening long-sleeve T-shirt,2490,2490.0,0.0
lululemon,Wunder padded hooded jacket,2421,1888.38,532.6199999999999
KHAITE,Danielle distressed-effect jeans,2510,1957.8,552.2
Low Classic,Volume zip-up cardigan,4090,3190.2000000000003,899.7999999999997
Nanushka,Alamo belted midi coat,3210,3210.0,0.0
GANNI,Graphic V-neck knitted cardigan,2563,1999.14,563.8599999999999
Jacquemus,Pau asymmetric knitted cardigan,2604,2604.0,0.0
KHAITE,Abigail high-waisted denim jeans,3233,2521.7400000000002,711.2599999999998
Burberry,Kensington cashmere trench coat,32500,32500.0,0.0
GANNI,quilted frilled-collar jacket,1840,1435.2,404.79999999999995
Moncler,Faucille goose-down gilet,7983,7983.0,0.0
Polo Ralph Lauren,knitted cashmere tank top,1645,1645.0,0.0
Frankie Shop,two-tone panelled trench coat,3135,2445.3,689.6999999999998
Moncler,Parana padded jacket,17050,17050.0,0.0
Jil Sander,logo print drawstring hoodie,2510,2510.0,0.0
TOTEME,striped roll neck jumper,3344,3344.0,0.0
Saint Laurent,high-waist straight jeans,6290,6290.0,0.0
Herno,mid-length faux-fur coat,3021,3021.0,0.0
Nanushka,logo-print ruched mini dress,2304,1797.1200000000001,506.8799999999999
Brunello Cucinelli,suede leather biker jacket,40895,40895.0,0.0
Balenciaga,striped wrap minidress,11700,11700.0,0.0
Polo Ralph Lauren,gathered waist midi shirt-dress,2002,2002.0,0.0
Mugler,ruched cut-out mini dress,5990,4672.2,1317.8000000000002
AMI Paris,Ami de Coeur organic cotton hoodie,1828,1828.0,0.0
Frankie Shop,Audrey cargo mini skirt,1180,920.4,259.6
Maison Margiela,chunky-knit oversize cardigan,10290,10290.0,0.0
There Was One,padded wrap jacket,2700,2106.0,594.0
TOTEME,double-breasted mid-length coat,5274,5274.0,0.0
Jacquemus,V-neck long-sleeve cardigan,4630,4630.0,0.0
Low Classic,open-collar cardigan,2720,2121.6,598.4000000000001
Frankie Shop,Hailey wide-leg cargo trousers,1910,1489.8,420.20000000000005
Maison Margiela,single-breasted wool duffle coat,24789,24789.0,0.0
KHAITE,Mateo striped cashmere jumper,7285,5682.3,1602.6999999999998
Maison Margiela,pleat-detail midi skirt,6860,6860.0,0.0
We11done,logo-patch denim jacket,2415,1883.7,531.3
There Was One,mélange-effect belted cardi-coat,4150,3237.0,913.0
Low Classic,belted single-breasted trench coat,3490,2722.2000000000003,767.7999999999997
ROTATE,Brandy logo intarsia jumper,2539,1980.42,558.5799999999999
Balmain,tweed mini dress,15560,15560.0,0.0
Frankie Shop,Bea single-breasted boxy blazer,2300,1794.0,506.0
Frankie Shop,Gelso high-rise tailored trousers,1480,1154.4,325.5999999999999
Isabel Marant Étoile,Neyela checked draped blouse,3050,3050.0,0.0
Isabel Marant Étoile,check-print ruched mini skirt,2740,2740.0,0.0
GANNI,cable-knit cardigan,1510,1177.8,332.20000000000005
There Was One,lightweight padded hooded coat,3800,2964.0,836.0
Jil Sander,handwarmer-pocket mid-length coat,13197,13197.0,0.0
Diesel,contrast knit top,1582,1582.0,0.0
Maison Margiela,panelled wide leg jeans,4175,4175.0,0.0
ZIMMERMANN,crochet-detail jumper,7835,6111.3,1723.6999999999998
extreme cashmere,longline cashmere cardigan,4620,3603.6,1016.4000000000001
Lemaire,off-centre twisted shirt,3174,2475.7200000000003,698.2799999999997
Maison Margiela,oversize checked midi coat,17954,17954.0,0.0
Acne Studios,striped knitted jumper,3500,3500.0,0.0
We11done,rainbow logo long-sleeve T-shirt,2152,1678.56,473.44000000000005
Frankie Shop,Gelso high-waisted darted trousers,1355,1056.9,298.0999999999999
Mugler,logo-plaque sheer panelled bodysuit,3250,2535.0,715.0
Mugler,high-waisted tailored trousers,5660,4414.8,1245.1999999999998
Isabel Marant Étoile,Fontizi checked shirt coat,4661,4661.0,0.0
Jacquemus,Sognu pleated sheer shirt,4660,4660.0,0.0
Jean Paul Gaultier,striped off-shoulder jumper,2480,1934.4,545.5999999999999
AGOLDE,high-waisted leather trousers,2165,2165.0,0.0
ROTATE,Rosemary cropped cardigan,2083,1624.74,458.26
There Was One,bias-cut midi skirt,1950,1521.0,429.0
There Was One,peak-lapels wrap blazer,3550,2769.0,781.0
Brunello Cucinelli,mock-neck cashmere jumper,10600,10600.0,0.0
There Was One,pleat-detail belted trousers,2950,2301.0,649.0
ZIMMERMANN,floral-print dress,6005,4683.900000000001,1321.0999999999995
Alessandra Rich,embroidered button-down cardigan,5385,4200.3,1184.6999999999998
Alexander Wang,off-shoulder denim top,3400,3400.0,0.0
FRAME,Jane washed-effect jeans,2276,1775.28,500.72
Off-White,Pattern print long-sleeve T-shirt,4918,3836.04,1081.96
Off-White,bleach multipocket cargo jeans,7893,7893.0,0.0
Palm Angels,x SIMS graphic-print hoodie,6300,4914.0,1386.0
Dion Lee,Column corset midi dress,5540,5540.0,0.0
MM6 Maison Margiela,lightweight distressed long cardigan,3630,3630.0,0.0
Diesel,1999 straight-leg jeans,2066,2066.0,0.0
Marine Serre,logo-embroidered ribbed bodysuit,1782,1389.96,392.03999999999996
Danielle Guizio,safety-pin cardigan,3389,2643.42,745.5799999999999
Alexander Wang,Falling Back denim jacket,4324,4324.0,0.0
Acne Studios,oversized denim jacket,4100,4100.0,0.0
Diesel,cut out-detail cropped sweatshirt,1612,1612.0,0.0
ETRO,rear graphic-print double-breasted coat,35200,35200.0,0.0
Jacquemus,Le Cardigan Alzou cropped cardigan,2445,2445.0,0.0
sacai,deconstructed single-breasted blazer,12500,12500.0,0.0
Nanushka,Mardi rib-knit zipped cardigan,2310,1801.8,508.20000000000005
There Was One,high-waisted A-line miniskirt,1650,1287.0,363.0
Rejina Pyo,Sloane single-breasted blazer,4215,3287.7000000000003,927.2999999999997
Off-White,logo-embroidered hoodie dress,8450,6591.0,1859.0
Jacquemus,La Robe asymmetrical dress,4295,4295.0,0.0
AMI Paris,Ami De Coeur T-shirt,750,750.0,0.0
ZIMMERMANN,sweetheart-neck tulle minidress,4685,3654.3,1030.6999999999998
ZIMMERMANN,floral-print maxi dress,6370,4968.6,1401.3999999999996
Rick Owens,funnel high-neck puffer jacket,15705,15705.0,0.0
